CIK,Company,Type,Date,Period of Report,SIC,State of Inc,State,Fiscal Year End,Basename,gvkey,sich,insbnk,understatement,option,Misstatement_BAO,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf,Misstatement_AA,Misstatement,restatement_year
814361,TIMBERLAND CO,10-K,2011-02-22,2010-12-31,3140.0,DE,DE,1231.0,814361_2010,13554,3140.0,0.0,0.0,0.0,0,721.028,91.025,892.359,611.511,272.221,708.467,50.502,0.0,0.0,0.0,24.503,96.622,180.068,0.0,0.0,246.526,280.848,96.622,246.405,0.0,1077.976,188.336,1429.484,4.406,25.76,44.638,0.538,24.59,0.060884592,0.042533497,0.044694128,0.024570471,0.61869158,0.065086826,0.005223816,0.044005152,1.0,0.492421682,1.068286731,0.78457252,0.158902415,0.003096562,0,0,
814453,NEWELL RUBBERMAID INC,10-K,2011-03-01,2010-12-31,3089.0,DE,DE,1231.0,814453_2010,7875,3842.0,0.0,0.0,0.0,0,2132.0,472.5,6405.3,1902.0,139.6,3416.1,290.5,305.0,547.3,2063.9,172.3,292.8,701.6,0.0,0.0,1665.9,4499.8,292.8,2112.2,0.0,1452.3,997.9,5759.2,0.0,0.0,7.5,121.9,18.18,-0.000982135,0.040844324,0.016181835,0.002088985,0.895570855,0.000459949,0.016063106,0.002441972,1.0,0.360139284,0.946629725,0.226734111,0.065914165,-0.039706295,0,0,
814549,EBIX INC,10-K,2011-03-16,2010-12-31,7373.0,DE,DE,1231.0,814549_2010,13480,7372.0,0.0,0.0,0.0,0,60.782,2.569,303.3,231.268,29.697,29.599,36.017,10.37,10.157,25.205,6.038,59.019,0.0,0.0,6.3,39.085,72.032,59.019,15.773,0.0,74.521,27.032,132.188,1.236,1.686,0.635,0.902,23.67,-0.000371374,0.200361825,0.014752408,0.0,0.876350148,0.448385491,0.010461059,0.01623881,1.0,0.271274987,0.76718039,0.245700626,0.199657105,-0.128927064,0,0,
814586,LIFEWAY FOODS INC,10-K,2011-03-31,2010-12-31,2020.0,IL,IL,1231.0,814586_2010,15087,2020.0,0.0,0.0,0.0,0,16.836,4.184,52.059,33.649,4.559,36.926,16.537,4.193,0.25,6.122,2.119,3.622,3.985,0.0,1.329,8.886,18.41,3.622,27.647,0.0,31.533,7.806,58.499,0.0,0.0,2.824,0.351,9.55,0.000289774,-0.02940239,0.008635262,0.013290962,0.621352696,0.038144459,0.005768221,-0.059374645,1.0,0.213064975,0.917261387,0.605716591,0.130563399,-0.008229578,0,0,
814676,CPS TECHNOLOGIES CORP/DE/,10-K,2011-03-25,2010-12-25,3260.0,DE,DE,1231.0,814676_2010,13582,3290.0,0.0,0.0,0.0,0,7.681,0.813,10.611,8.486,1.803,16.633,12.676,0.253,0.0,0.175,0.749,0.71,1.524,0.0,0.0,1.95,2.125,0.71,7.587,0.0,-24.717,3.922,21.397,0.035,0.04,0.311,0.032,1.85,0.000201603,0.024192329,0.134670632,-0.055239151,0.624257846,0.600526568,-0.4051012,0.007694449,1.0,0.361867074,1.001095623,-2.329375177,0.099236641,-0.009273726,0,0,
815093,ANGEION CORP/MN,10-K,2011-01-31,2010-10-31,3841.0,MN,MN,1031.0,815093_2010,14581,3845.0,0.0,0.0,0.0,0,18.852,1.951,21.381,14.337,9.664,12.9,3.747,0.0,0.0,0.0,0.77,-0.849,3.697,0.722,2.721,6.171,7.044,-0.849,4.177,0.0,-6.524,5.221,29.041,0.023,0.0,0.041,0.0,4.23,-0.041784509,0.093923912,0.032433172,-0.03074537,0.523315093,0.072496688,-0.001343378,0.031404739,1.0,0.90455343,1.044849051,-0.305130724,-0.037790562,-0.059985403,0,0,
815097,CARNIVAL CORP,10-K,2011-01-31,2010-11-30,4400.0,DE,DE,1130.0,815097_2010,13498,4400.0,0.0,0.0,0.0,0,1244.0,503.0,37490.0,23031.0,429.0,9112.0,790.0,1353.0,1374.0,8011.0,1416.0,1978.0,320.0,0.0,0.0,5755.0,14459.0,1978.0,39836.0,0.0,16970.0,248.0,14450.0,545.0,0.0,1.0,404.0,41.31,-0.014799865,0.029734275,-0.003067608,0.0,0.162550013,0.102247786,-0.010433639,0.00225396,1.0,0.705716886,0.960132766,0.452654041,0.063563617,-0.024675412,0,0,
815556,FASTENAL CO,10-K,2011-02-09,2010-12-31,5200.0,MN,MN,1231.0,815556_2010,14225,5200.0,0.0,0.0,0.0,0,1085.698,60.474,1468.283,1282.512,169.76,1053.88,147.431,0.0,0.0,0.0,40.755,265.356,557.369,5.152,26.067,162.185,185.771,265.356,632.332,0.0,1276.675,270.133,2269.471,0.0,5.299,165.284,0.0,59.91,0.061130167,0.084507989,0.040036614,0.035028818,0.63686905,0.128706273,0.055186156,0.049720383,0.0,0.145202237,1.059874363,0.78457252,0.293294957,-0.02656135,0,0,
816159,AIR METHODS CORP,10-K,2011-03-11,2010-12-31,4522.0,DE,DE,1231.0,816159_2010,13789,4522.0,0.0,0.0,0.0,0,237.992,13.633,723.11,233.429,60.71,345.977,12.602,57.198,6.188,312.816,63.636,42.757,26.98,0.121,0.0,115.393,489.681,42.757,672.301,0.0,144.604,138.246,556.299,3.026,0.0,25.199,19.176,56.27,0.005986531,0.024842187,0.036534576,-0.012733146,0.301001231,0.005786624,0.116440424,0.003840301,1.0,0.329183773,0.787311356,0.199975108,0.12049619,-0.000777517,0,0,
816284,CELGENE CORP /DE/,10-K,2011-03-01,2010-12-31,2834.0,DE,DE,1231.0,816284_2010,13599,2834.0,0.0,0.0,0.0,0,4343.199,94.465,10177.162,5983.973,2601.301,251.018,470.388,4.388,1237.27,1268.161,258.734,880.512,260.13,0.0,1250.173,1070.382,4181.69,880.512,697.625,0.0,174.499,706.429,3625.745,86.889,11.423,132.418,12.634,59.14,0.036373814,0.169140306,0.034408822,0.020485951,0.69429395,0.309891988,0.017372443,-0.044833111,1.0,0.215105776,0.883607214,0.017146136,0.100771119,-0.155808448,0,0,
